N° SERIE,MARQUE,MODELE ou DESCRIPTION,TYPE MATERIEL,AFFECTATION,DATE ENTREE,FOURNISSEUR,N° FACTURE,PRIX ACHAT HT,DUREE PROBABLE D'UTILISATION en mois,DATE REEVALUATION
MOB0069,NON DEFINI,Table abattante 140x70,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380809,300.09,120,31/05/35
MOB0070,NON DEFINI,Table abattante 140x70,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380809,300.09,120,31/05/35
MOB0071,NON DEFINI,Table abattante 140x70,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380809,300.09,120,31/05/35
MOB0072,NON DEFINI,Table abattante 140x70,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380809,300.09,120,31/05/35
MOB0073,NON DEFINI,Table abattante 140x70,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380809,300.09,120,31/05/35
MOB0074,NON DEFINI,Table abattante 140x70,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380809,300.09,120,31/05/35
MOB0075,NON DEFINI,Table abattante 140x70,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380809,300.09,120,31/05/35
MOB0076,NON DEFINI,Table coworking 240x120,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380809,840.89,120,31/05/35
MOB0077,NON DEFINI,Chaises réunion résille,Mobilier,Salle réunion Wilson,31/05/25,LYRECO,5770380809,43.55,60,31/05/30
MOB0078,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0079,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0080,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0081,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0082,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0083,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0084,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0085,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0086,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0087,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0088,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0089,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0090,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0091,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0092,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0093,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0094,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0095,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0096,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0097,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0098,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0099,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0100,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0101,NON DEFINI,Chaise traineau tissu Adela,Mobilier,Salle réunion Carmes,31/05/25,LYRECO,5770380807,201.45,120,31/05/35
MOB0102,NON DEFINI,Pied roulant,Mobilier,Salle réunion Capitole,02/06/25,OFFICE EASY,OE-FA0001905735,1 033.90,0,
MOB0103,SULPIE,Babyfoot Evolution,Mobilier,Espace Restauration,25/06/25,LE STAR,FC35875,1 566.67,120,25/06/35
MOB0104,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/07/25,LYRECO,5770382630,159.00,72,31/07/31
MOB0105,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/07/25,LYRECO,5770382630,159.00,72,31/07/31
MOB0106,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/07/25,LYRECO,5770382630,159.00,72,31/07/31
MOB0107,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/07/25,LYRECO,5770382630,159.00,72,31/07/31
MOB0108,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/07/25,LYRECO,5770382630,159.00,72,31/07/31
MOB0109,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/07/25,LYRECO,5770382630,159.00,72,31/07/31
MOB0110,NON DEFINI,Casiers à clés bloc 4 portes,Mobilier,Open Spaces,31/07/25,LYRECO,5770382631,346.40,120,31/07/35
